name,school,subschool,descriptor,spell_level,casting_time,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,description,description_formatted,full_text,domain,short_description,mythic_text,mythic
Acid Arrow,conjuration,creation,acid,"sorcerer/wizard 2, magus 2, bloodrager 2",1 standard action,long (400 ft. + 40 ft./level),,one arrow of acid,,1 round + 1 round per three levels,0,0,none,"An arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels you possess, the acid, unless neutralized, lasts for another round (to a maximum of 6 additional rounds at 18th level), dealing another 2d4 points of damage in each round.","<p>An arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels you possess, the acid, unless neutralized, lasts for another round (to a maximum of 6 additional rounds at 18th level), dealing another 2d4 points of damage in each round.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Acid Arrow </p><div style=""clear: both;""></div></div><div><h5><b>School </b>conjuration (creation) [acid]; <b>Level </b>sorcerer/wizard 2, magus 2, bloodrager 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (rhubarb leaf and an adder's stomach), F (a dart)</h5><h5><b>Range </b>long (400 ft. + 40 ft./level)</h5><h5><b>Effect </b>one arrow of acid</h5><h5><b>Duration </b>1 round + 1 round per three levels</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><div><h4><p>An arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels you possess, the acid, unless neutralized, lasts for another round (to a maximum of 6 additional rounds at 18th level), dealing another 2d4 points of damage in each round.</p></h4></div>",, Ranged touch attack; 2d4 damage for 1 round + 1 round/three levels.,,0
Acid Fog,conjuration,creation,acid,"sorcerer/wizard 6, magus 6, unchained summoner 6",1 standard action,medium (100 ft. + 10 ft./level),,"fog spreads in 20-ft. radius, 20 ft. high",,1 round/level,0,0,none,"Acid fog creates a billowing mass of misty vapors like the solid fog spell. In addition to slowing down creatures and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 points of acid damage to each creature and object within it.","<p><i>Acid fog</i> creates a billowing mass of misty vapors like the <i>solid fog</i> spell. In addition to slowing down creatures and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 points of acid damage to each creature and object within it.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Acid Fog </p><div style=""clear: both;""></div></div><div><h5><b>School </b>conjuration (creation) [acid]; <b>Level </b>sorcerer/wizard 6, magus 6, unchained summoner 6</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (powdered peas and an animal hoof)</h5><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Effect </b>fog spreads in 20-ft. radius, 20 ft. high</h5><h5><b>Duration </b>1 round/level</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><div><h4><p><i>Acid fog</i> creates a billowing mass of misty vapors like the <i>solid fog</i> spell. In addition to slowing down creatures and obscuring sight, this spell's vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 points of acid damage to each creature and object within it.</p></h4></div>",, Fog deals acid damage.,,0
Acid Splash,conjuration,creation,acid,"sorcerer/wizard 0, summoner/unchained summoner 0, inquisitor 0, magus 0",1 standard action,close (25 ft. + 5 ft./2 levels),,one missile of acid,,instantaneous,0,0,none,You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage. This acid disappears after 1 round.,<p>You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage. This acid disappears after 1 round.</p>,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Acid Splash </p><div style=""clear: both;""></div></div><div><h5><b>School </b>conjuration (creation) [acid]; <b>Level </b>sorcerer/wizard 0, summoner/unchained summoner 0, inquisitor 0, magus 0</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Effect </b>one missile of acid</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><div><h4><p>You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage. This acid disappears after 1 round.</p></h4></div>",, Orb deals 1d3 acid damage.,,0
Aid,enchantment,compulsion,mind-affecting,"cleric/oracle 2, inquisitor 2, alchemist 2, shaman 2, spiritualist 2, medium 2",1 standard action,touch,,,living creature touched,1 min./level,0,0,none,"Aid grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).","<p><i>Aid</i> grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Aid</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>cleric/oracle 2, alchemist 2, inquisitor 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, DF</h5><h5><b>Range </b>touch</h5><h5><b>Targets </b> living creature touched</h5><h5><b>Duration </b>1 min./level</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes (harmless)</h5></div><div><h4><p><i>Aid</i> grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).</p></h4></div>","Luck (2), Tactics (2)"," +1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).",,0
Air Walk,transmutation,,air,"cleric/oracle 4, druid 4, alchemist 4, occultist 4",1 standard action,touch,,,creature (Gargantuan or smaller) touched,10 min./level,0,0,none,"The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed. A strong wind (21+ miles per hour) can push the subject along or hold it back. At the end of a creature's turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about. Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the air walk spell is dispelled, but not if it is negated by an antimagic field. You can cast air walk on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of air walk (counts as a trick; see Handle Animal skill) with 1 week of work and a DC 25 Handle Animal check.","<p>The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed.</p><p>A strong wind (21+ miles per hour) can push the subject along or hold it back. At the end of a creature's turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about.</p><p>Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the <i>air walk</i> spell is dispelled, but not if it is negated by an <i>antimagic field</i>.</p><p>You can cast <i>air walk</i> on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of <i>air walk</i> (counts as a trick; see Handle Animal skill) with 1 week of work and a DC 25 Handle Animal check.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Air Walk </p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation [air]; <b>Level </b>cleric/oracle 4, druid 4, alchemist 4, occultist 4</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, DF</h5><h5><b>Range </b>touch</h5><h5><b>Targets </b> creature (Gargantuan or smaller) touched</h5><h5><b>Duration </b>10 min./level</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes (harmless)</h5></div><div><h4><p>The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker's normal speed.</p><p>A strong wind (21+ miles per hour) can push the subject along or hold it back. At the end of a creature's turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about.</p><p>Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the <i>air walk</i> spell is dispelled, but not if it is negated by an <i>antimagic field</i>.</p><p>You can cast <i>air walk</i> on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of <i>air walk</i> (counts as a trick; see Handle Animal skill) with 1 week of work and a DC 25 Handle Animal check.</p></h4></div>",Air (4),Subject treads on air as if solid (climb or descend at 45-degree angle).,,0
Align Weapon,transmutation,,see text,"cleric/oracle 2, inquisitor 2",1 standard action,touch,,,weapon touched or 50 projectiles (all of which must be together at the time of casting),1 min./level,0,0,"Will negates (harmless, object)","Align weapon makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment. You can't cast this spell on a natural weapon, such as an unarmed strike. When you make a weapon chaotic, evil, good, or lawful, align weapon is a chaotic, evil, good, or lawful spell, respectively.","<p><i>Align weapon</i> makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment.</p><p>You can't cast this spell on a natural weapon, such as an unarmed strike. When you make a weapon chaotic, evil, good, or lawful, <i>align weapon</i> is a chaotic, evil, good, or lawful spell, respectively.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Align Weapon </p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation [see text]; <b>Level </b>cleric/oracle 2, inquisitor 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, DF</h5><h5><b>Range </b>touch</h5><h5><b>Targets </b> weapon touched or 50 projectiles (all of which must be together at the time of casting)</h5><h5><b>Duration </b>1 min./level</h5><h5><b>Saving Throw </b>Will negates (harmless, object); <b>Spell Resistance </b>yes (harmless, object)</h5></div><div><h4><p><i>Align weapon</i> makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment.</p><p>You can't cast this spell on a natural weapon, such as an unarmed strike. When you make a weapon chaotic, evil, good, or lawful, <i>align weapon</i> is a chaotic, evil, good, or lawful spell, respectively.</p></h4></div>","Chaos (2), Evil (2), Good (2), Law (2), Demodand (2)"," Weapon becomes good, evil, lawful, or chaotic.",,0
Alter Self,transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,personal,,,you,1 min./level,1,0,,"When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet. Small creature: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity. Medium creature: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.","<p>When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet.</p><p><i>Small creature</i>: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity.</p><p><i>Medium creature</i>: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Alter Self </p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation (polymorph); <b>Level </b>bard 2, sorcerer/wizard 2, alchemist 2, summoner/unchained summoner 2, witch 2</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (a piece of the creature whose form you plan to assume)</h5><h5><b>Range </b>personal</h5><h5><b>Targets </b> you</h5><h5><b>Duration </b>1 min./level (D)</h5></div><div><h4><p>When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet.</p><p><i>Small creature</i>: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity.</p><p><i>Medium creature</i>: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.</p></h4></div>",,Assume form of a Small or Medium humanoid.,,0
Alarm,abjuration,,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1 standard action,close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,,,2 hours/level,1,0,none,"Alarm creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the alarm. You decide at the time of casting whether the alarm will be mental or audible in nature. Mental Alarm: A mental alarm alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ""ping"" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental alarm. Audible Alarm: An audible alarm produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall. In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a silence spell cannot hear the ringing.  Ethereal or astral creatures do not trigger the alarm. Alarm can be made permanent with a permanency spell.","<p><i>Alarm</i> creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the <i>alarm</i>. You decide at the time of casting whether the <i>alarm</i> will be mental or audible in nature.</p><p><i>Mental Alarm</i>: A mental <i>alarm</i> alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ""ping"" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental <i>alarm</i>.</p><p><i>Audible Alarm</i>: An audible <i>alarm</i> produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall.</p><p>In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a <i>silence</i> spell cannot hear the ringing.  Ethereal or astral creatures do not trigger the <i>alarm</i>.</p><p><i>Alarm</i> can be made permanent with a <i>permanency</i> spell.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Alarm </p><div style=""clear: both;""></div></div><div><h5><b>School </b>abjuration; <b>Level </b>bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, F/DF (a tiny bell and a piece of very fine silver wire)</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Area </b>20-ft.-radius emanation centered on a point in space</h5><h5><b>Duration </b>2 hours/level (D)</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><div><h4><p><i>Alarm</i> creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the <i>alarm</i>. You decide at the time of casting whether the <i>alarm</i> will be mental or audible in nature.</p><p><i>Mental Alarm</i>: A mental <i>alarm</i> alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ""ping"" that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental <i>alarm</i>.</p><p><i>Audible Alarm</i>: An audible <i>alarm</i> produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall.</p><p>In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a <i>silence</i> spell cannot hear the ringing.  Ethereal or astral creatures do not trigger the <i>alarm</i>.</p><p><i>Alarm</i> can be made permanent with a <i>permanency</i> spell.</p></h4></div>","Home (1), Ambush (1)",Wards an area for 2 hours/level.,,0
Analyze Dweomer,divination,,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",1 standard action,close (25 ft. + 5 ft./2 levels),,,one object or creature per caster level,1 round/level,1,0,none or Will negates; see text,"You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level. An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other analyze dweomer spells for 24 hours. Analyze dweomer does not function when used on an artifact.","<p>You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level.</p><p>An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other <i>analyze dweomer</i> spells for 24 hours.</p><p><i>Analyze dweomer</i> does not function when used on an artifact.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Analyze Dweomer </p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>bard 6, sorcerer/wizard 6, alchemist 6, witch 6</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, F (a ruby and gold lens worth 1,500 gp)</h5><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Targets </b> one object or creature per caster level</h5><h5><b>Duration </b>1 round/level (D)</h5><h5><b>Saving Throw </b>none or Will negates; see text; <b>Spell Resistance </b>no</h5></div><div><h4><p>You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level.</p><p>An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other <i>analyze dweomer</i> spells for 24 hours.</p><p><i>Analyze dweomer</i> does not function when used on an artifact.</p></h4></div>",Arcane (6),Reveals magical aspects of subject.,,0
Animal Growth,transmutation,,,"druid 5, ranger 4, sorcerer/wizard 5, shaman 5",1 standard action,medium (100 ft. + 10 ft./level),,,one animal (Gargantuan or smaller),1 min./level,0,0,Fortitude negates,"The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit points per HD), and imposes a -2 size penalty to Dexterity. The creature's existing natural armor bonus increases by 2. The size change also affects the animal's modifier to AC, attack rolls, and its base damage. The animal's space and reach change as appropriate to the new size, but its speed does not change. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it--the spell cannot be used to crush a creature by increasing its size.  All equipment worn or carried by the animal is similarly enlarged by the spell, though this change has no effect on the magical properties of any such equipment.  Any enlarged item that leaves the enlarged creature's possession instantly returns to its normal size.  The spell gives no means of command over an enlarged animal.  Multiple magical effects that increase size do not stack.","<p>The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit points per HD), and imposes a -2 size penalty to Dexterity. The creature's existing natural armor bonus increases by 2. The size change also affects the animal's modifier to AC, attack rolls, and its base damage. The animal's space and reach change as appropriate to the new size, but its speed does not change. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it--the spell cannot be used to crush a creature by increasing its size.</p><p>All equipment worn or carried by the animal is similarly enlarged by the spell, though this change has no effect on the magical properties of any such equipment.</p><p>Any enlarged item that leaves the enlarged creature's possession instantly returns to its normal size.</p><p>The spell gives no means of command over an enlarged animal.</p><p>Multiple magical effects that increase size do not stack.</p>","<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Animal Growth </p><div style=""clear: both;""></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 5, ranger 4, sorcerer/wizard 5, shaman 5</h5><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Targets </b> one animal (Gargantuan or smaller)</h5><h5><b>Duration </b>1 min./level</h5><h5><b>Saving Throw </b>Fortitude negates; <b>Spell Resistance </b>yes</h5></div><div><h4><p>The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal's size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit points per HD), and imposes a -2 size penalty to Dexterity. The creature's existing natural armor bonus increases by 2. The size change also affects the animal's modifier to AC, attack rolls, and its base damage. The animal's space and reach change as appropriate to the new size, but its speed does not change. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it--the spell cannot be used to crush a creature by increasing its size.</p><p>All equipment worn or carried by the animal is similarly enlarged by the spell, though this change has no effect on the magical properties of any such equipment.</p><p>Any enlarged item that leaves the enlarged creature's possession instantly returns to its normal size.</p><p>The spell gives no means of command over an enlarged animal.</p><p>Multiple magical effects that increase size do not stack.</p></h4></div>",Scalykind (5),One animal doubles in size.,,0
